Job Salary,Job Experience Required,Role Category,Functional Area,Industry,Job Title,Skills List
"300,000",2.5,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer,Technical Support
"1,200,000",6.0,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,"adobe experience manager, digital, digital marketing, adobe analytics, data analytics, aem, adobe, sitecatalyst"
"250,000",0.0,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive,"channel partners, real estate, negotiation, property, Residential Sales"
"3,000,000",7.5,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning,"secretary, executive assistant, ea"
"425,000",3.0,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager,"digital marketing, seo, social media marketing, content marketing, email marketing, sem, google analytics, campaign management, facebook, media management"
"212,500",5.0,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance",Insurance,Sales Officer,"sales manager, business development manager, relationship manager, brokers, insurance sales, channel sales, direct sale, direct marketing, sales, Marketing Executive, Territory Sales Manager"
"350,000",2.0,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales,"lead generation, business development, corporate sales"
"250,000",3.5,QA/Testing/Documentation,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance,QA Executive
"300,000",4.0,Programming & Design,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic,Articulate Storyline
"250,000",2.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"fixed assets, accounts payable, record to report, general accounting, general ledger"
"287,500",2.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"cca, bpo, csr, international bpo, customer service, outbound process, customer care, tourism, customer support, fresher, voice process, inbound process, cse, bpo fresher, voice support, hotel, travel"
"500,000",5.5,Content Development,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer,"Automobile, Digital Content, Content Development, Production, Web Content Writing"
"1,100,000",8.0,Retail Sales,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales,"Tourism, target achievement, negotiation skills, revenue management, Tour Packages"
"500,000",3.0,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"sds, radiology, CPT, icd - 10, EM, medical coding, coders, surgery, ed"
"237,500",2.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"international bpo, bpo, kpo, web chat, non voice process, e mail, international call center, customer service representative, cse, interpersonal skills, ites, uk shift, customer service, e - commerce, customer care, customer support, bpo fresher"
"625,000",4.5,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales,"Trade, Forex Trading, Forex, fx, Lead Generation, Accounting, Banking, Revenue Generation, Current Account"
"400,000",3.0,Sales Support,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator,"Project Administration, Coordination"
"625,000",7.5,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical),"Revenue Cycle Management, US Healthcare, Payment Posting, Medical Billing, Medical Coding, us visa, Team Leading Skills, Healthcare, Denial Management, RCM"
"325,000",3.0,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation ,"digital marketing, seo specialist, advertising agency, online marketing, seo, seo expert, facebook marketing"
"287,500",7.5,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager,"Validation, Installation, Breakdown Maintenance, Industrial Safety, gmp, Boiler, Design, HVAC, Gensets, Air Compressor, Breakdown, RO, who"
"250,000",1.0,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative,"marketing officer, pharma sales, Marketing Representative, marketing executive, pharma marketing, sales officer, sales representative, business development executive, Fresher, trainee, sales executive"
"1,000,000",8.5,Public Relations,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager,"PR, Public Relations, Media Relations, Social Media, Marketing Communication, corporate communication, media relation, corp comm, Online Media, public relation, Journalism, Advertising, mass communication"
"750,000",6.5,Teachers,"Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty",Trainer,"planning, training, training manager, trainer, faculty"
"462,500",6.0,Food & Beverage,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Restaurant Manager,"assistant restaurant manager, restaurant, restaurant manager"
"412,500",12.0,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit",Iron and Steel,Accounts Manager,"accounting, finance, financial reporting, statutory compliance, gst, vat"
"225,000",1.0,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Fresher, Trainee, Entry Level",Associate,"customer service, customer care, team, communication, bpo, call center, inbound, voice, backend, non voice, telecalling, cse, cro, cce, data entry, back office, voice process, domestic bpo, fresher, trainee, Telemarketing, Outbound, sales, hardware, networking"
"425,000",4.5,Production/Merchandising/Business Development,"Export , Import , Merchandising","Textiles, Garments, Accessories",Merchandiser,"Merchandising, Buyer Activities, Follow Ups, Vendor, purchase, vendor development, tracking"
"1,600,000",8.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead,"C#, Azure, Powershell, Script Writing, API, Debugging, Devops, Application Integration"
"275,000",3.0,Teachers,"Teaching , Education , Training , Counselling","Education, Teaching, Training",DaycareTeacher ,"Staff Training, Day Care, Recruitment"
"537,500",5.5,Channel Sales,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Sales ,"Sales, Business Development, Change Management, Mobile, mobiles, handset, mobile handset, Marketing, Relationship Management, Distribution Management, channel management, dealer management, Retailer"
"325,000",2.0,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"Bpo Voice, Voice Process, International BPO"
"950,000",12.5,Logistics,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Manager,"Stores, warehouse, Logistics"
"650,000",9.5,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,"Balance Sheet Finalisation, service tax, bank reconciliation, gst, income tax, taxation, financial auditing, finance, tax audit"
"500,000",3.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"CSS, jQuery, MySQL, Javascript, HTML, Web Development, Laravel, Codeigniter"
"225,000",2.5,Other,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Outside Consultant,"HR, Human Resource Management, Placement Coordination, recruitment executive, recruitment officer"
"600,000",3.5,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase Executive,"Strategic Sourcing, procurement, supply chain management, Packaging, Vendor Management"
"475,000",4.0,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"java, mongodb, Hibernate, spring, jms"
"1,500,000",7.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"software development life cycle, css, html5, ui development, design patterns, svn, software engineering, angularjs, javascript"
"187,500",3.0,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Cashier,"Cash Handling, Cashier Activities, Day Book, Cashier, Restaurant, CSAT"
"212,500",3.0,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Production Manager,"Production Management, production control, production planning, Production Manager, Planning, Production Support, Organizing"
"512,500",4.5,Institutional Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales,"sales strategy, sales management, B2B Sales, corporate sales, institutional sales"
"225,000",1.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"fresher, icse, inbound process, outbound, international bpo, uk process, bcom, communication skills, back office, cbse, web chat, chat process, Aviation, Guest Relations, Public Speaking, PR"
"400,000",3.5,Training,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Voice & Accent Trainer,"accent, auditing, soft skills, training needs, customer service, process compliance"
"900,000",5.5,Corporate Sales,"Sales , Retail , Business Development","Electricals, Switchgears",Sales,"Sales, Sale, Networking Sales, It Solution Sales, Structured Cabling, Passive Networking, Data Center, Cable Tray, cabling, Data Center Rack, data - centre rack, LAN, UTP Cables"
"1,500,000",15.0,Operations/Processes/Finance/Legal,"Financial Services , Banking , Investments , Insurance","Medical, Healthcare, Hospitals",Finance,"fundraising, finance"
"1,400,000",10.5,CSR & Sustainability,CSR & Sustainability,"Automobile, Auto Anciliary, Auto Components",CSR Manager,"senior management, ngo, key skills, Corporate Social Responsibility, Govt Liasioning, corporate pr, External Communications"
"225,000",1.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"PR, international bpo, chat process, Aviation, back office, web chat, Guest Relations, Public Speaking, bcom, fresher, inbound process, outbound, uk process, icse, communication skills, cbse"
"125,000",3.5,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,"hiring, HRIS, procurement, HR, sourcing, Recruitment, staffing"
"462,500",1.5,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Medical Representative,"pharmaceutical, medical, Pharma, medical billing, healthcare"
"312,500",2.0,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"SSRS, SQL Server, Stored Procedures, SQL Development, MS SQL"
"1,150,000",5.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"Java, CSS, Rest, Spring Mvc, Javascript, HTML, JPA, Spring Boot, JQuery, Web Services"
"1,650,000",13.5,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Export, Import",Head,"financial analysis, financial planning, taxation, VP Finance"
"1,450,000",8.5,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Head,"Auditing, Audit Planning, Risk Assessment, Banking, Credit Risk, Credit Policy"
"1,000,000",4.5,Programming & Design,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer,"rest, java, sql, oop, angularjs, ui development, oracle"
"400,000",7.5,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Oil and Gas, Energy, Power, Infrastructure",Service,"RT, PT, MPI, NDT Inspection, NDT Level, Diploma, Quality Inspection, Level Ii, Inspection Engineering, Mechanical Engineering, UT"
"175,000",0.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"BPO, any graduate, Voice Process, Voice Support"
"1,875,000",15.0,Senior Management,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Head,"Equipment Maintenance, Hydraulics, Inventory Management, Management Skills, Maintenance Head, Electricals"
"850,000",5.5,Corporate Sales,"Sales , Retail , Business Development",Insurance,Sales,"motor insurance, insurance sales, insurance broking, general insurance"
"212,500",0.5,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office,"Operations, Inventory Management, Vendor Management, Bhm, Hospitality, Front Office, Guest Relations, Hospitality Management, hotel management"
"262,500",2.0,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS",Recruitment Executive,"Screening, Linkedin, IT Recruitment, hr recruitment, Database, recruiter, Sourcing, Interviewing, Recruitment"
"250,000",2.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"BPO, Customer Support, international bpo, Voice Process, International Voice, International Voice Process"
"1,025,000",13.5,Institutional Sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales,"lead generation, branding, business development, Sales Management, market research, competitive intelligence, market analysis, Marketing"
"237,500",3.0,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,"hr, recruitment, recruiter, hiring, head hunting, leadership, mass hiring, volume hiring, bulk hiring, team leader, senior, tl, non it, it recruitment, technical hiring, it recruiter, bfsi, engineering, manufacturing, insurance, bpo, IT"
"212,500",1.5,Logistics,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Executive,"QMS, Impex, Environmental Management System, Warehouse Management System, Export Import Logistics"
"550,000",2.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"spring boot, spring security, spring mvc"
"650,000",4.0,Retail Sales,"Sales , Retail , Business Development","Media, Entertainment, Internet",Sales,"Marketing Strategy, Strategic Thinking, Interpersonal Communication, Sales, Promotions, Accounting, Account Management, Team Leading, Business Development Management, Advertising"
"450,000",11.0,Purchase/Material Management,"Supply Chain , Logistics , Purchase , Materials","Electricals, Switchgears",Purchase Executive,Assistant Manager Purchase
"775,000",4.5,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Quality Assurance,"BPO, Transactional Quality, Quality Management, Quality manager, manager Quality"
"1,000,000",9.5,Corporate Sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales,"pharma chemicals, business development, api, intermediates, sales"
"1,000,000",7.0,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead,"Hibernate, Design Patterns, Cloud, Spring Boot, Team Leader, core java, Web Services, Microservices"
"300,000",4.5,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales,"Sales, insurance sales, agency sales, Direct sales, life advisor, channel sales, life insurance advisor, life insurance, agency"
"250,000",3.5,Teachers,"Teaching , Education , Training , Counselling","BPO, Call Centre, ITeS",Technical ,"Training Needs, Soft Skills, Accent, HR, Feedback, Coaching, Customer Service, Process Compliance"
"600,000",15.0,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Real Estate, Property",Project Manager-Production,"Real Estate Construction, Project Management, Interpersonal Communication, Communication Skills, Project Manager, Project Coordinator, site coordinator"
"1,875,000",14.0,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Subject Matter Expert,"apache camel, Administration, Technical Support, redhat, Activemq"
"487,500",4.5,Analytics & BI,Analytics & Business Intelligence,"KPO, Research, Analytics",Data Analyst,"Reporting, Data Analysis, Business Analytics, Data Analytics, kpo"
"200,000",3.5,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Printing, Packaging",Service,"service engineering, maintenance, breakdown, shutdown, amc, installation, repair, troubleshooting, field service engineer, Preventive Maintenance, breakdown maintenance, Field Engineer, Electrical Engineer"
"550,000",6.5,Institutional Sales,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales,"enterprise sales, relationship building, new business, sales strategy, B2B Sales, marketing management, cross selling, product marketing, consultative sales, b2b marketing, service sales, Corporate Sales, Key Accounts Manager"
"287,500",1.5,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS",Accounts Executive,"accounts executive, Accounting, accounts, finance"
"1,000,000",8.5,Retail Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales,"project sales, Architects, Sales Operations, Sales Management, distributor, interior designers, Area Management, contractors, Area, Developers, consultants, dealer, territory management, Sales Manager"
"287,500",3.0,Retail Sales,"Sales , Retail , Business Development","Travel , Hotels , Restaurants , Airlines , Railways",Sales Executive,"Manager Sales, Sales Manager, assistant sales manager, MICE, Travel Agent, Senior Sales Executive, senior sales officer, Corporate Sales, Hotel Sales, Room Sales, Sales Executive"
"187,500",2.5,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Factory Head,"cnc, cnc operator, cnc maintenance, cnc programming"
